Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT"
12/29/2006,4.65,4.73,4.89,5.02,4.90,5.09
12/28/2006,4.64,4.72,4.87,5.00,4.91,5.10
12/27/2006,4.66,4.74,4.85,4.98,4.91,5.10
12/26/2006,4.70,4.78,4.87,5.00,4.91,5.10
12/22/2006,4.73,4.81,4.86,4.99,4.89,5.08
12/21/2006,4.75,4.83,4.84,4.97,4.87,5.06
12/20/2006,4.78,4.86,4.84,4.97,4.89,5.08
12/19/2006,4.75,4.83,4.84,4.97,4.89,5.08
12/18/2006,4.70,4.78,4.84,4.97,4.90,5.09
12/15/2006,4.69,4.77,4.79,4.91,4.88,5.07
12/14/2006,4.78,4.86,4.83,4.96,4.89,5.08
12/13/2006,4.77,4.85,4.82,4.95,4.88,5.07
12/12/2006,4.78,4.86,4.81,4.94,4.87,5.06
12/11/2006,4.76,4.84,4.81,4.94,4.88,5.07
12/08/2006,4.80,4.88,4.84,4.97,4.89,5.08
12/07/2006,4.83,4.91,4.85,4.98,4.86,5.05
12/06/2006,4.82,4.91,4.86,4.99,4.86,5.05
12/05/2006,4.79,4.87,4.86,4.99,4.84,5.03
12/04/2006,5.07,5.16,4.88,5.01,4.85,5.04
12/01/2006,5.14,5.23,4.90,5.03,4.86,5.05
11/30/2006,5.14,5.23,4.90,5.03,4.91,5.10
11/29/2006,5.17,5.26,4.91,5.04,4.93,5.13
11/28/2006,5.18,5.27,4.91,5.04,4.93,5.13
11/27/2006,5.16,5.25,4.92,5.05,4.94,5.14
11/24/2006,5.14,5.23,4.91,5.04,4.94,5.13
11/22/2006,5.16,5.25,4.92,5.05,4.95,5.15
11/21/2006,5.17,5.26,4.94,5.07,4.95,5.15
11/20/2006,5.12,5.21,4.95,5.08,4.95,5.15
11/17/2006,5.11,5.20,4.96,5.09,4.95,5.14
11/16/2006,5.14,5.23,4.96,5.09,4.97,5.17
11/15/2006,5.15,5.24,4.96,5.09,4.96,5.16
11/14/2006,5.15,5.24,4.96,5.09,4.95,5.15
11/13/2006,5.10,5.19,4.96,5.09,4.96,5.16
11/10/2006,5.12,5.21,4.97,5.10,4.96,5.16
11/09/2006,5.11,5.20,4.96,5.09,4.96,5.16
11/08/2006,5.11,5.20,4.97,5.10,4.96,5.16
11/07/2006,5.11,5.20,4.95,5.08,4.96,5.16
11/06/2006,5.10,5.19,4.96,5.09,4.98,5.18
11/03/2006,5.10,5.19,4.96,5.09,4.98,5.18
11/02/2006,5.10,5.19,4.94,5.07,4.93,5.13
11/01/2006,5.10,5.19,4.94,5.07,4.90,5.09
10/31/2006,5.09,5.18,4.95,5.08,4.93,5.13
10/30/2006,5.07,5.16,4.97,5.10,4.96,5.16
10/27/2006,5.06,5.15,4.98,5.11,4.96,5.16
10/26/2006,5.07,5.16,4.99,5.12,4.98,5.18
10/25/2006,5.05,5.14,4.99,5.12,4.98,5.18
10/24/2006,5.06,5.15,5.00,5.13,4.99,5.19
10/23/2006,4.96,5.04,4.99,5.12,4.98,5.18
10/20/2006,4.91,4.99,4.96,5.09,4.95,5.14
10/19/2006,4.93,5.02,4.97,5.10,4.96,5.16
10/18/2006,4.96,5.05,4.96,5.09,4.94,5.14
10/17/2006,4.97,5.06,4.96,5.09,4.95,5.15
10/16/2006,4.92,5.00,4.96,5.09,4.95,5.15
10/13/2006,4.84,4.92,4.92,5.05,4.94,5.13
10/12/2006,4.84,4.93,4.93,5.06,4.93,5.13
10/11/2006,4.81,4.90,4.89,5.02,4.91,5.10
10/10/2006,4.70,4.78,4.87,5.00,4.90,5.09
10/06/2006,4.66,4.74,4.82,4.94,4.86,5.05
10/05/2006,4.72,4.80,4.81,4.94,4.84,5.03
10/04/2006,4.69,4.77,4.80,4.93,4.81,5.00
10/03/2006,4.62,4.70,4.78,4.91,4.83,5.02
10/02/2006,4.56,4.64,4.76,4.88,4.83,5.02
09/29/2006,4.50,4.58,4.77,4.89,4.83,5.02
09/28/2006,4.44,4.52,4.75,4.87,4.82,5.01
09/27/2006,4.51,4.59,4.76,4.88,4.82,5.01
09/26/2006,4.56,4.64,4.76,4.88,4.83,5.02
09/25/2006,4.62,4.70,4.76,4.88,4.82,5.01
09/22/2006,4.64,4.72,4.80,4.92,4.83,5.02
09/21/2006,4.63,4.71,4.79,4.92,4.85,5.04
09/20/2006,4.64,4.72,4.81,4.94,4.90,5.09
09/19/2006,4.64,4.72,4.82,4.95,4.90,5.09
09/18/2006,4.66,4.74,4.82,4.95,4.92,5.12
09/15/2006,4.68,4.76,4.83,4.95,4.92,5.11
09/14/2006,4.72,4.80,4.82,4.95,4.92,5.11
09/13/2006,4.69,4.77,4.79,4.92,4.89,5.08
09/12/2006,4.67,4.75,4.78,4.91,4.92,5.12
09/11/2006,4.76,4.84,4.81,4.94,4.93,5.13
09/08/2006,4.75,4.83,4.80,4.92,4.91,5.10
09/07/2006,4.80,4.88,4.84,4.97,4.93,5.13
09/06/2006,4.80,4.88,4.84,4.97,4.92,5.12
09/05/2006,4.88,4.96,4.87,5.00,4.93,5.13
09/01/2006,4.99,5.08,4.89,5.02,4.91,5.10
08/31/2006,5.03,5.12,4.92,5.05,4.92,5.11
08/30/2006,5.08,5.17,4.92,5.05,4.94,5.14
08/29/2006,5.10,5.19,4.94,5.07,4.96,5.16
08/28/2006,5.10,5.19,4.97,5.10,4.98,5.18
08/25/2006,5.09,5.18,4.98,5.11,4.97,5.17
08/24/2006,5.08,5.17,4.96,5.09,4.97,5.17
08/23/2006,5.08,5.17,4.96,5.09,4.97,5.17
08/22/2006,5.08,5.17,4.97,5.10,4.97,5.17
08/21/2006,5.07,5.16,4.98,5.11,4.98,5.18
08/18/2006,5.05,5.14,4.97,5.10,4.99,5.19
08/17/2006,5.07,5.16,4.96,5.09,4.98,5.18
08/16/2006,5.07,5.16,4.94,5.07,4.96,5.16
08/15/2006,5.09,5.18,4.97,5.10,4.99,5.19
08/14/2006,5.07,5.16,4.99,5.12,5.04,5.24
08/11/2006,5.04,5.13,4.94,5.07,5.00,5.20
08/10/2006,5.04,5.13,4.92,5.05,4.96,5.16
08/09/2006,5.05,5.14,4.94,5.07,4.95,5.15
08/08/2006,5.10,5.19,4.97,5.10,4.96,5.16
08/07/2006,5.10,5.19,4.99,5.12,5.00,5.20
08/04/2006,5.07,5.16,4.96,5.09,4.96,5.16
08/03/2006,5.10,5.19,4.98,5.11,4.99,5.19
08/02/2006,5.11,5.20,4.97,5.10,4.98,5.18
08/01/2006,5.11,5.20,4.99,5.12,4.98,5.18
07/31/2006,4.93,5.01,4.97,5.10,4.98,5.18
07/28/2006,4.89,4.97,4.94,5.07,4.96,5.16
07/27/2006,4.93,5.02,4.97,5.10,5.00,5.20
07/26/2006,4.91,5.00,4.98,5.11,5.01,5.21
07/25/2006,4.92,5.01,5.00,5.13,5.05,5.25
07/24/2006,4.80,4.88,4.97,5.10,5.06,5.26
07/21/2006,4.78,4.86,4.96,5.09,5.05,5.25
07/20/2006,4.77,4.85,4.95,5.08,5.04,5.24
07/19/2006,4.82,4.91,4.98,5.11,5.07,5.28
07/18/2006,4.85,4.94,5.00,5.13,5.12,5.33
07/17/2006,4.80,4.88,4.98,5.11,5.09,5.30
07/14/2006,4.77,4.85,4.93,5.06,5.06,5.26
07/13/2006,4.79,4.87,4.92,5.05,5.07,5.27
07/12/2006,4.83,4.92,4.93,5.06,5.09,5.30
07/11/2006,4.81,4.90,4.92,5.05,5.09,5.30
07/10/2006,4.75,4.83,4.93,5.06,5.11,5.32
07/07/2006,4.74,4.82,4.89,5.02,5.08,5.28
07/06/2006,4.71,4.79,4.87,5.00,5.10,5.31
07/05/2006,4.72,4.80,4.88,5.01,5.11,5.32
07/03/2006,4.55,4.63,4.96,5.09,5.10,5.31
06/30/2006,4.43,4.50,4.87,5.00,5.04,5.24
06/29/2006,4.59,4.67,4.88,5.01,5.06,5.26
06/28/2006,4.70,4.78,4.88,5.01,5.10,5.31
06/27/2006,4.78,4.86,4.92,5.05,5.10,5.31
06/26/2006,4.62,4.70,4.91,5.04,5.11,5.32
06/23/2006,4.51,4.59,4.84,4.97,5.07,5.27
06/22/2006,4.46,4.54,4.79,4.92,5.04,5.24
06/21/2006,4.58,4.66,4.79,4.92,5.03,5.23
06/20/2006,4.62,4.70,4.80,4.93,5.04,5.24
06/19/2006,4.57,4.65,4.81,4.94,5.05,5.25
06/16/2006,4.54,4.62,4.75,4.87,4.99,5.19
06/15/2006,4.51,4.59,4.72,4.84,4.96,5.16
06/14/2006,4.60,4.68,4.77,4.90,4.97,5.17
06/13/2006,4.64,4.72,4.77,4.90,4.93,5.13
06/12/2006,4.68,4.76,4.81,4.94,4.93,5.13
06/09/2006,4.70,4.78,4.75,4.87,4.88,5.07
06/08/2006,4.70,4.78,4.74,4.86,4.87,5.06
06/07/2006,4.71,4.79,4.74,4.86,4.87,5.06
06/06/2006,4.72,4.80,4.74,4.86,4.86,5.05
06/05/2006,4.68,4.76,4.73,4.85,4.85,5.04
06/02/2006,4.67,4.75,4.69,4.81,4.82,5.01
06/01/2006,4.67,4.75,4.71,4.83,4.87,5.06
05/31/2006,4.67,4.75,4.74,4.86,4.89,5.08
05/30/2006,4.67,4.75,4.72,4.84,4.85,5.04
05/26/2006,4.67,4.75,4.72,4.84,4.83,5.02
05/25/2006,4.66,4.74,4.70,4.82,4.82,5.01
05/24/2006,4.66,4.74,4.70,4.82,4.80,4.99
05/23/2006,4.67,4.75,4.72,4.84,4.83,5.02
05/22/2006,4.65,4.73,4.71,4.83,4.83,5.02
05/19/2006,4.67,4.75,4.70,4.82,4.81,5.00
05/18/2006,4.67,4.75,4.71,4.83,4.79,4.98
05/17/2006,4.67,4.75,4.71,4.83,4.81,5.00
05/16/2006,4.68,4.76,4.71,4.83,4.80,4.99
05/15/2006,4.58,4.66,4.74,4.86,4.83,5.02
05/12/2006,4.55,4.63,4.72,4.84,4.81,5.00
05/11/2006,4.55,4.63,4.70,4.82,4.80,4.99
05/10/2006,4.60,4.68,4.76,4.88,4.84,5.03
05/09/2006,4.64,4.72,4.76,4.88,4.84,5.03
05/08/2006,4.53,4.61,4.75,4.87,4.84,5.03
05/05/2006,4.52,4.60,4.70,4.82,4.81,5.00
05/04/2006,4.52,4.60,4.68,4.80,4.82,5.01
05/03/2006,4.56,4.64,4.70,4.82,4.81,5.00
05/02/2006,4.58,4.66,4.69,4.81,4.79,4.98
05/01/2006,4.51,4.59,4.70,4.82,4.79,4.98
04/28/2006,4.51,4.59,4.65,4.77,4.73,4.91
04/27/2006,4.56,4.64,4.66,4.78,4.75,4.93
04/26/2006,4.57,4.65,4.67,4.79,4.79,4.98
04/25/2006,4.55,4.63,4.67,4.79,4.77,4.96
04/24/2006,4.49,4.57,4.64,4.76,4.75,4.93
04/21/2006,4.49,4.57,4.63,4.75,4.72,4.90
04/20/2006,4.47,4.55,4.61,4.73,4.72,4.90
04/19/2006,4.46,4.54,4.61,4.73,4.72,4.90
04/18/2006,4.46,4.54,4.61,4.73,4.72,4.90
04/17/2006,4.46,4.53,4.61,4.73,4.75,4.93
04/13/2006,4.46,4.54,4.58,4.70,4.76,4.94
04/12/2006,4.54,4.62,4.58,4.70,4.73,4.91
04/11/2006,4.55,4.63,4.58,4.70,4.70,4.88
04/10/2006,4.56,4.64,4.58,4.70,4.71,4.89
04/07/2006,4.56,4.64,4.57,4.69,4.67,4.85
04/06/2006,4.57,4.65,4.56,4.68,4.67,4.85
04/05/2006,4.54,4.62,4.55,4.67,4.65,4.83
04/04/2006,4.56,4.64,4.56,4.68,4.67,4.85
04/03/2006,4.58,4.66,4.55,4.67,4.68,4.86
03/31/2006,4.57,4.65,4.52,4.63,4.64,4.81
03/30/2006,4.59,4.67,4.50,4.61,4.66,4.84
03/29/2006,4.61,4.69,4.51,4.63,4.65,4.83
03/28/2006,4.63,4.71,4.53,4.65,4.65,4.83
03/27/2006,4.60,4.68,4.51,4.63,4.62,4.80
03/24/2006,4.58,4.66,4.54,4.65,4.61,4.78
03/23/2006,4.58,4.66,4.55,4.67,4.63,4.81
03/22/2006,4.59,4.67,4.57,4.69,4.63,4.81
03/21/2006,4.59,4.67,4.57,4.69,4.64,4.82
03/20/2006,4.47,4.55,4.55,4.67,4.61,4.79
03/17/2006,4.42,4.49,4.52,4.63,4.61,4.78
03/16/2006,4.41,4.49,4.50,4.61,4.60,4.77
03/15/2006,4.42,4.50,4.51,4.63,4.63,4.81
03/14/2006,4.41,4.49,4.48,4.59,4.62,4.80
03/13/2006,4.36,4.43,4.50,4.61,4.65,4.83
03/10/2006,4.37,4.44,4.50,4.61,4.61,4.78
03/09/2006,4.36,4.44,4.48,4.59,4.60,4.77
03/08/2006,4.37,4.45,4.47,4.58,4.60,4.77
03/07/2006,4.39,4.47,4.49,4.60,4.60,4.77
03/06/2006,4.35,4.42,4.49,4.60,4.60,4.77
03/03/2006,4.36,4.43,4.50,4.61,4.58,4.75
03/02/2006,4.37,4.45,4.50,4.61,4.58,4.75
03/01/2006,4.37,4.45,4.49,4.60,4.58,4.75
02/28/2006,4.39,4.47,4.51,4.63,4.57,4.74
02/27/2006,4.40,4.47,4.51,4.63,4.59,4.76
02/24/2006,4.37,4.44,4.49,4.60,4.56,4.73
02/23/2006,4.36,4.44,4.48,4.59,4.56,4.73
02/22/2006,4.36,4.44,4.46,4.57,4.53,4.70
02/21/2006,4.33,4.40,4.46,4.57,4.56,4.73
02/17/2006,4.32,4.39,4.43,4.54,4.52,4.69
02/16/2006,4.31,4.38,4.44,4.55,4.52,4.69
02/15/2006,4.32,4.39,4.44,4.55,4.53,4.70
02/14/2006,4.34,4.42,4.45,4.56,4.55,4.72
02/13/2006,4.29,4.36,4.45,4.56,4.54,4.71
02/10/2006,4.28,4.35,4.42,4.53,4.53,4.70
02/09/2006,4.25,4.32,4.41,4.52,4.50,4.67
02/08/2006,4.27,4.34,4.40,4.51,4.50,4.67
02/07/2006,4.26,4.33,4.39,4.50,4.50,4.67
02/06/2006,4.24,4.31,4.38,4.49,4.51,4.68
02/03/2006,4.24,4.31,4.37,4.48,4.47,4.63
02/02/2006,4.25,4.32,4.37,4.48,4.45,4.62
02/01/2006,4.26,4.33,4.37,4.48,4.44,4.61
01/31/2006,4.30,4.37,4.37,4.48,4.43,4.59
01/30/2006,4.08,4.15,4.38,4.49,4.45,4.62
01/27/2006,4.10,4.17,4.34,4.45,4.39,4.55
01/26/2006,4.08,4.15,4.34,4.45,4.38,4.54
01/25/2006,4.14,4.21,4.32,4.43,4.38,4.54
01/24/2006,4.16,4.23,4.30,4.41,4.35,4.51
