Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
12/31/2010,0.06,0.06,0.12,0.12,0.19,0.19,0.27,0.27
12/30/2010,0.05,0.05,0.12,0.12,0.20,0.20,0.27,0.27
12/29/2010,0.05,0.05,0.13,0.13,0.20,0.20,0.28,0.28
12/28/2010,0.08,0.08,0.15,0.15,0.21,0.21,0.29,0.29
12/27/2010,0.04,0.04,0.17,0.17,0.22,0.22,0.30,0.30
12/23/2010,0.06,0.06,0.14,0.14,0.19,0.19,0.29,0.29
12/22/2010,0.07,0.07,0.14,0.14,0.20,0.20,0.29,0.29
12/21/2010,0.09,0.09,0.14,0.14,0.19,0.19,0.29,0.29
12/20/2010,0.02,0.02,0.14,0.14,0.19,0.19,0.29,0.29
12/17/2010,0.05,0.05,0.11,0.11,0.18,0.18,0.29,0.29
12/16/2010,0.08,0.08,0.13,0.13,0.19,0.19,0.30,0.30
12/15/2010,0.08,0.08,0.14,0.14,0.20,0.20,0.30,0.30
12/14/2010,0.09,0.09,0.15,0.15,0.20,0.20,0.30,0.30
12/13/2010,0.09,0.09,0.15,0.15,0.19,0.19,0.27,0.27
12/10/2010,0.09,0.09,0.13,0.13,0.18,0.18,0.27,0.27
12/09/2010,0.09,0.09,0.14,0.14,0.18,0.18,0.28,0.28
12/08/2010,0.08,0.08,0.15,0.15,0.18,0.18,0.28,0.28
12/07/2010,0.08,0.08,0.14,0.14,0.19,0.19,0.26,0.26
12/06/2010,0.14,0.14,0.15,0.15,0.19,0.19,0.25,0.25
12/03/2010,0.14,0.14,0.14,0.14,0.19,0.19,0.25,0.25
12/02/2010,0.16,0.16,0.16,0.16,0.19,0.19,0.28,0.28
12/01/2010,0.17,0.17,0.16,0.16,0.20,0.20,0.27,0.27
11/30/2010,0.18,0.18,0.17,0.17,0.21,0.21,0.26,0.26
11/29/2010,0.16,0.16,0.18,0.18,0.21,0.21,0.27,0.27
11/26/2010,0.16,0.16,0.16,0.16,0.21,0.21,0.27,0.27
11/24/2010,0.16,0.16,0.16,0.16,0.20,0.20,0.27,0.27
11/23/2010,0.15,0.15,0.15,0.15,0.20,0.20,0.25,0.25
11/22/2010,0.12,0.12,0.15,0.15,0.20,0.20,0.25,0.25
11/19/2010,0.12,0.12,0.14,0.14,0.19,0.19,0.26,0.26
11/18/2010,0.13,0.13,0.15,0.15,0.19,0.19,0.26,0.26
11/17/2010,0.13,0.13,0.14,0.14,0.19,0.19,0.26,0.26
11/16/2010,0.13,0.13,0.15,0.15,0.19,0.19,0.27,0.27
11/15/2010,0.12,0.12,0.14,0.14,0.19,0.19,0.27,0.27
11/12/2010,0.11,0.11,0.13,0.13,0.17,0.17,0.25,0.25
11/10/2010,0.12,0.12,0.13,0.13,0.16,0.16,0.23,0.23
11/09/2010,0.11,0.11,0.13,0.13,0.16,0.16,0.23,0.23
11/08/2010,0.12,0.12,0.13,0.13,0.16,0.16,0.21,0.21
11/05/2010,0.13,0.13,0.13,0.13,0.16,0.16,0.21,0.21
11/04/2010,0.13,0.13,0.13,0.13,0.17,0.17,0.20,0.20
11/03/2010,0.13,0.13,0.13,0.13,0.16,0.16,0.21,0.21
11/02/2010,0.13,0.13,0.13,0.13,0.16,0.16,0.21,0.21
11/01/2010,0.14,0.14,0.13,0.13,0.16,0.16,0.21,0.21
10/29/2010,0.14,0.14,0.12,0.12,0.17,0.17,0.21,0.21
10/28/2010,0.14,0.14,0.13,0.13,0.18,0.18,0.22,0.22
10/27/2010,0.14,0.14,0.14,0.14,0.18,0.18,0.22,0.22
10/26/2010,0.14,0.14,0.14,0.14,0.18,0.18,0.22,0.22
10/25/2010,0.13,0.13,0.14,0.14,0.18,0.18,0.22,0.22
10/22/2010,0.13,0.13,0.13,0.13,0.18,0.18,0.21,0.21
10/21/2010,0.13,0.13,0.13,0.13,0.18,0.18,0.22,0.22
10/20/2010,0.14,0.14,0.14,0.14,0.17,0.17,0.22,0.22
10/19/2010,0.14,0.14,0.14,0.14,0.18,0.18,0.22,0.22
10/18/2010,0.14,0.14,0.15,0.15,0.18,0.18,0.22,0.22
10/15/2010,0.14,0.14,0.14,0.14,0.17,0.17,0.21,0.21
10/14/2010,0.15,0.15,0.14,0.14,0.17,0.17,0.21,0.21
10/13/2010,0.14,0.14,0.13,0.13,0.18,0.18,0.21,0.21
10/12/2010,0.14,0.14,0.13,0.13,0.17,0.17,0.20,0.20
10/11/2010,,,,,,,,
10/08/2010,0.14,0.14,0.12,0.12,0.16,0.16,0.20,0.20
10/07/2010,0.15,0.15,0.13,0.13,0.17,0.17,0.22,0.22
10/06/2010,0.14,0.14,0.13,0.13,0.17,0.17,0.23,0.23
10/05/2010,0.14,0.14,0.12,0.12,0.18,0.18,0.24,0.24
10/04/2010,0.15,0.15,0.13,0.13,0.19,0.19,0.25,0.25
10/01/2010,0.15,0.15,0.16,0.16,0.19,0.19,0.25,0.25
09/30/2010,0.14,0.14,0.16,0.16,0.19,0.19,0.26,0.26
09/29/2010,0.12,0.12,0.16,0.16,0.20,0.20,0.26,0.26
09/28/2010,0.08,0.08,0.16,0.16,0.20,0.20,0.25,0.25
09/27/2010,0.07,0.07,0.16,0.16,0.19,0.19,0.25,0.25
09/24/2010,0.09,0.09,0.15,0.15,0.19,0.19,0.25,0.25
09/23/2010,0.13,0.13,0.16,0.16,0.20,0.20,0.25,0.25
09/22/2010,0.12,0.12,0.16,0.16,0.19,0.19,0.25,0.25
09/21/2010,0.12,0.12,0.17,0.17,0.20,0.20,0.26,0.26
09/20/2010,0.11,0.11,0.17,0.17,0.20,0.20,0.25,0.25
09/17/2010,0.12,0.12,0.16,0.16,0.20,0.20,0.25,0.25
09/16/2010,0.12,0.12,0.16,0.16,0.20,0.20,0.24,0.24
09/15/2010,0.11,0.11,0.15,0.15,0.20,0.20,0.24,0.24
09/14/2010,0.11,0.11,0.15,0.15,0.20,0.20,0.25,0.25
09/13/2010,0.09,0.09,0.15,0.15,0.19,0.19,0.25,0.25
09/10/2010,0.10,0.10,0.14,0.14,0.19,0.19,0.25,0.25
09/09/2010,0.10,0.10,0.14,0.14,0.19,0.19,0.24,0.24
09/08/2010,0.10,0.10,0.14,0.14,0.19,0.19,0.23,0.23
09/07/2010,0.13,0.13,0.14,0.14,0.18,0.18,0.24,0.24
09/03/2010,0.15,0.15,0.14,0.14,0.19,0.19,0.24,0.24
09/02/2010,0.15,0.15,0.14,0.14,0.18,0.18,0.24,0.24
09/01/2010,0.16,0.16,0.13,0.13,0.19,0.19,0.24,0.24
08/31/2010,0.16,0.16,0.14,0.14,0.19,0.19,0.24,0.24
08/30/2010,0.16,0.16,0.14,0.14,0.19,0.19,0.25,0.25
08/27/2010,0.17,0.17,0.15,0.15,0.19,0.19,0.26,0.26
08/26/2010,0.17,0.17,0.16,0.16,0.19,0.19,0.25,0.25
08/25/2010,0.17,0.17,0.16,0.16,0.19,0.19,0.26,0.26
08/24/2010,0.17,0.17,0.16,0.16,0.20,0.20,0.27,0.27
08/23/2010,0.15,0.15,0.16,0.16,0.19,0.19,0.24,0.24
08/20/2010,0.15,0.15,0.15,0.15,0.19,0.19,0.24,0.24
08/19/2010,0.16,0.16,0.16,0.16,0.19,0.19,0.24,0.24
08/18/2010,0.16,0.16,0.16,0.16,0.19,0.19,0.24,0.24
08/17/2010,0.16,0.16,0.17,0.17,0.19,0.19,0.24,0.24
08/16/2010,0.15,0.15,0.16,0.16,0.19,0.19,0.24,0.24
08/13/2010,0.14,0.14,0.15,0.15,0.19,0.19,0.24,0.24
08/12/2010,0.15,0.15,0.16,0.16,0.18,0.18,0.24,0.24
08/11/2010,0.15,0.15,0.15,0.15,0.19,0.19,0.24,0.24
08/10/2010,0.15,0.15,0.15,0.15,0.19,0.19,0.24,0.24
08/09/2010,0.14,0.14,0.15,0.15,0.19,0.19,0.25,0.25
08/06/2010,0.14,0.14,0.15,0.15,0.19,0.19,0.24,0.24
08/05/2010,0.15,0.15,0.15,0.15,0.19,0.19,0.26,0.26
08/04/2010,0.15,0.15,0.16,0.16,0.20,0.20,0.27,0.27
08/03/2010,0.15,0.15,0.16,0.16,0.20,0.20,0.26,0.26
08/02/2010,0.14,0.14,0.16,0.16,0.20,0.20,0.27,0.27
07/30/2010,0.14,0.14,0.15,0.15,0.20,0.20,0.28,0.28
07/29/2010,0.15,0.15,0.15,0.15,0.20,0.20,0.29,0.29
07/28/2010,0.15,0.15,0.15,0.15,0.20,0.20,0.30,0.30
07/27/2010,0.16,0.16,0.15,0.15,0.21,0.21,0.30,0.30
07/26/2010,0.15,0.15,0.16,0.16,0.20,0.20,0.27,0.27
07/23/2010,0.15,0.15,0.16,0.16,0.20,0.20,0.25,0.25
07/22/2010,0.15,0.15,0.16,0.16,0.20,0.20,0.25,0.25
